month,car class,mdbf,mdbf_12avg,total_miles,number_of_failures,number_of_cars
2023-02,ADIVISION,155583,169489,11357524,73,2890
2023-02,BDIVISION,119140,121774,15011602,126,3563
2023-02,FLEET,132508,138884,26369127,199,6453
2023-02,R142,134422,196625,4301516,32,1025
2023-02,R142A,232215,181404,928860,4,220
2023-02,R160,215437,285652,6678562,31,1662
2023-02,R179,333942,327118,1335767,4,318
2023-02,R188-CONVERSION,238343,199151,1191714,5,380
2023-02,R46,54693,50026,3609770,66,746
2023-02,R62,191292,143875,1147749,6,315
2023-02,R62A,131083,137482,3408161,26,824
2023-02,R68,142576,121505,1853485,13,425
2023-02,R68A,58193,108001,698311,12,200
2023-01,ADIVISION,181135,170134,13041727,72,2890
2023-01,BDIVISION,105280,121703,16950039,161,3563
2023-01,FLEET,128720,139081,29991766,233,6453
2023-01,R142,198157,203765,4953922,25,1025
2023-01,R142A,345070,175251,1035209,3,220
2023-01,R143,124853,182515,873968,7,212
2023-01,R160,218369,293598,7642932,35,1662
2023-01,R179,392458,295611,1569830,4,318
2023-01,R188-CONVERSION,716360,187414,1432719,2,380
2023-01,R188-NEW,477527,245364,477527,1,126
2023-01,R46,45506,49558,3959062,87,746
2023-01,R62,128289,137300,1282888,10,315
2023-01,R62A,124499,140799,3859462,31,824
2023-01,R68,139877,124761,2098159,15,425
2023-01,R68A,62007,114910,806088,13,200
2022-12,ADIVISION,145498,169290,12803865,88,2890
2022-12,BDIVISION,106620,122807,16526166,155,3563
2022-12,FLEET,120700,139696,29330031,243,6453
2022-12,R142,167634,206264,4861393,29,1025
2022-12,R142A,198220,159852,991100,5,220
2022-12,R143,191042,179231,955209,5,212
2022-12,R160,371706,300347,7434118,20,1662
2022-12,R179,241222,274400,1447333,6,318
2022-12,R188-CONVERSION,132268,172852,1454944,11,380
2022-12,R188-NEW,163169,205027,489507,3,126
2022-12,R46,39476,50106,3868694,98,746
2022-12,R62,126325,140245,1263247,10,315
2022-12,R62A,124789,144445,3743674,30,824
2022-12,R68,110652,122490,1991736,18,425
2022-12,R68A,103635,125110,829076,8,200
2022-11,ADIVISION,152764,173364,12526675,82,2890
2022-11,BDIVISION,128437,126595,16054577,125,3563
2022-11,FLEET,138074,143684,28581252,207,6453
2022-11,R142,146851,218028,4699217,32,1025
2022-11,R142A,203971,163727,1019854,5,220
2022-11,R143,273714,191024,821141,3,212
2022-11,R160,262307,297431,7344597,28,1662
2022-11,R179,756529,278092,1513057,2,318
2022-11,R188-CONVERSION,269361,172767,1346803,5,380
2022-11,R188-NEW,220152,180365,440303,2,126
2022-11,R46,50985,52669,3721872,73,746
2022-11,R62,182155,141769,1275083,7,315
2022-11,R62A,120820,147684,3745415,31,824
2022-11,R68,175098,122330,1926079,11,425
2022-11,R68A,90979,127293,727831,8,200
2022-10,ADIVISION,154348,175734,12656571,82,2890
2022-10,BDIVISION,124075,127672,16253830,131,3563
2022-10,FLEET,135730,145170,28910401,213,6453
2022-10,R142,217476,229989,4784470,22,1025
2022-10,R142A,80725,159531,1049428,13,220
2022-10,R143,458295,185077,916589,2,212
2022-10,R160,280959,299586,7304937,26,1662
2022-10,R179,386206,265047,1544824,4,318
2022-10,R188-CONVERSION,284340,167936,1421701,5,380
2022-10,R188-NEW,155720,176819,467161,3,126
2022-10,R46,50623,53475,3644853,72,746
2022-10,R62,191666,141934,1149996,6,315
2022-10,R62A,114661,149425,3783815,33,824
2022-10,R68,106301,121184,2019722,19,425
2022-10,R68A,102863,138113,822905,8,200
2022-09,ADIVISION,148906,179927,12359201,83,2890
2022-09,BDIVISION,130001,126798,15990111,123,3563
2022-09,FLEET,137618,145751,28349312,206,6453
2022-09,R142,202352,236916,4451752,22,1025
2022-09,R142A,348848,164211,1046543,3,220
2022-09,R143,442384,166867,884768,2,212
2022-09,R160,477144,297525,7157157,15,1662
2022-09,R179,217160,263318,1520121,7,318
2022-09,R188-CONVERSION,235864,173907,1415186,6,380
2022-09,R188-NEW,250567,186258,501134,2,126
2022-09,R46,46699,53302,3642557,78,746
2022-09,R62,123964,140485,1239637,10,315
2022-09,R62A,92624,152967,3704950,40,824
2022-09,R68,134736,118826,2021047,15,425
2022-09,R68A,127410,148797,764461,6,200
2022-08,ADIVISION,151577,187594,13035644,86,2890
2022-08,BDIVISION,128338,123792,16427201,128,3563
2022-08,FLEET,137677,145581,29462845,214,6453
2022-08,R142,224190,240935,4932187,22,1025
2022-08,R142A,200805,155761,1004023,5,220
2022-08,R143,166201,166513,831003,5,212
2022-08,R160,346127,284569,7268661,21,1662
2022-08,R179,409352,260948,1637406,4,318
2022-08,R188-CONVERSION,114212,180648,1484754,13,380
2022-08,R188-NEW,492471,191756,492471,1,126
2022-08,R46,50054,52879,3804067,76,746
2022-08,R62,106653,148251,1279839,12,315
2022-08,R62A,116435,166544,3842370,33,824
2022-08,R68,113279,112944,2039019,18,425
2022-08,R68A,211761,132127,847045,4,200
2022-07,ADIVISION,185095,192223,12401392,67,2890
2022-07,BDIVISION,116646,123337,15630543,134,3563
2022-07,FLEET,139462,146339,28031935,201,6453
2022-07,R142,220531,243293,4631152,21,1025
2022-07,R142A,153541,156097,1074784,7,220
2022-07,R143,101535,168056,913816,9,212
2022-07,R160,383199,284496,6897575,18,1662
2022-07,R179,371204,237536,1484814,4,318
2022-07,R188-CONVERSION,290452,196556,1452258,5,380
2022-07,R188-NEW,441057,199218,441057,1,126
2022-07,R46,42934,53035,3649362,85,746
2022-07,R62,129498,152044,1165483,9,315
2022-07,R62A,151527,170097,3636658,24,824
2022-07,R68,130989,112004,1833841,14,425
2022-07,R68A,212784,121484,851135,4,200
2022-06,ADIVISION,223969,190264,12318313,55,2890
2022-06,BDIVISION,131398,123492,15767730,120,3563
2022-06,FLEET,160492,145897,28086043,175,6453
2022-06,R142,198024,244898,4554556,23,1025
2022-06,R142A,240730,150451,962919,4,220
2022-06,R143,108025,184898,972227,9,212
2022-06,R160,266738,275648,6935183,26,1662
2022-06,R179,365890,240339,1463559,4,318
2022-06,R188-CONVERSION,698002,191206,1396004,2,380
2022-06,R46,61005,53420,3660317,60,746
2022-06,R62,125706,158085,1257059,10,315
2022-06,R62A,231780,164054,3708483,16,824
2022-06,R68,106885,112306,1923929,18,425
2022-06,R68A,270838,114246,812515,3,200
2022-05,ADIVISION,190308,184371,12370008,65,2890
2022-05,BDIVISION,136425,124297,15825255,116,3565
2022-05,FLEET,155775,144929,28195263,181,6455
2022-05,R142,253244,245486,4558391,18,1025
2022-05,R142A,140265,138831,981853,7,220
2022-05,R143,215822,201339,863286,4,212
2022-05,R160,260081,278843,7022193,27,1662
2022-05,R179,304311,245540,1521554,5,318
2022-05,R188-CONVERSION,151557,184132,1364011,9,380
2022-05,R188-NEW,231408,197660,462816,2,126
2022-05,R46,60668,52935,3579425,59,748
2022-05,R62,250469,170641,1252344,5,315
2022-05,R62A,156275,151985,3750592,24,824
2022-05,R68,153203,116672,1991643,13,425
2022-05,R68A,105894,108669,847154,8,200
2022-04,ADIVISION,212887,182266,12134557,57,2890
2022-04,BDIVISION,116468,124403,15723244,135,3565
2022-04,FLEET,145093,144366,27857801,192,6455
2022-04,R142,252050,237529,4536907,18,1025
2022-04,R142A,252481,136783,1009922,4,220
2022-04,R143,285059,199938,855177,3,212
2022-04,R160,262505,277642,7087627,27,1662
2022-04,R179,292797,244225,1463983,5,318
2022-04,R188-CONVERSION,116372,181498,1396458,12,380
2022-04,R188-NEW,202466,191554,404931,2,126
2022-04,R46,48126,53242,3561304,74,748
2022-04,R62,118923,173199,1189233,10,315
2022-04,R62A,327010,151974,3597106,11,824
2022-04,R68,99410,112495,1988208,20,425
2022-04,R68A,127824,112994,766945,6,200
2022-03,ADIVISION,173232,183774,12992365,75,2890
2022-03,BDIVISION,128740,126656,16607464,129,3565
2022-03,FLEET,145097,146438,29599829,204,6455
2022-03,R142,225880,241375,4969357,22,1025
2022-03,R142A,149935,127665,1049544,7,220
2022-03,R143,418009,193691,836017,2,212
2022-03,R160,267621,283377,7493379,28,1662
2022-03,R179,248209,230648,1489255,6,318
2022-03,R188-CONVERSION,152458,201105,1372120,9,380
2022-03,R188-NEW,127961,202345,383884,3,126
2022-03,R46,61646,55270,3822056,62,748
2022-03,R62,164569,187097,1316551,8,315
2022-03,R62A,150035,147702,3900910,26,824
2022-03,R68,96732,114459,2128106,22,425
2022-03,R68A,93183,104463,838651,9,200
2022-02,ADIVISION,163114,187859,11417965,70,2890
2022-02,BDIVISION,118048,127079,14047672,119,3565
2022-02,FLEET,134739,147775,25465637,189,6455
2022-02,R142,195715,241930,4305733,22,1025
2022-02,R142A,144526,132153,867157,6,220
2022-02,R143,113362,179938,680170,6,212
2022-02,R160,292491,295530,6142321,21,1662
2022-02,R179,137653,220155,1376532,10,318
2022-02,R188-CONVERSION,120936,206399,1330294,11,380
2022-02,R188-NEW,198958,224292,397915,2,126
2022-02,R46,48391,55590,3242227,67,748
2022-02,R62,105186,199004,1157044,11,315
2022-02,R62A,186657,149712,3359822,18,824
2022-02,R68,233472,112335,1867775,8,425
2022-02,R68A,105521,101895,738647,7,200
2022-01,ADIVISION,170841,192849,11958893,70,2890
2022-01,BDIVISION,114288,126636,14514527,127,3565
2022-01,FLEET,134383,148627,26473420,197,6455
2022-01,R142,229457,253194,4818596,21,1025
2022-01,R142A,103534,136766,931807,9,220
2022-01,R143,98107,187837,686747,7,212
2022-01,R160,264406,298071,6610161,25,1662
2022-01,R179,171693,204392,1373544,8,318
2022-01,R188-CONVERSION,148012,208817,1332108,9,380
2022-01,R188-NEW,82045,235502,410227,5,126
2022-01,R46,51440,56063,3395070,66,748
2022-01,R62,173322,213526,1039933,6,315
2022-01,R62A,171311,149604,3426222,20,824
2022-01,R68,111688,107354,1787002,16,425
2022-01,R68A,132401,97458,662003,5,200
2021-12,ADIVISION,191347,199111,12054857,63,2890
2021-12,BDIVISION,154613,127117,15152077,98,3565
2021-12,FLEET,168987,150363,27206934,161,6455
2021-12,R142,351753,261347,4572784,13,1025
2021-12,R142A,318076,136474,954228,3,220
2021-12,R143,863329,211173,863329,1,212
2021-12,R160,329009,300215,6909195,21,1662
2021-12,R179,281844,187811,1409218,5,318
2021-12,R188-CONVERSION,131523,224982,1446749,11,380
2021-12,R188-NEW,64897,285636,389381,6,126
2021-12,R46,71806,56437,3518512,49,748
2021-12,R62,142274,223666,1138193,8,315
2021-12,R62A,161524,151869,3553522,22,824
2021-12,R68,108160,106523,1838728,17,425
2021-12,R68A,122619,99453,613095,5,200
2021-11,ADIVISION,177830,200730,12092446,68,2890
2021-11,BDIVISION,143213,125829,15610166,109,3565
2021-11,FLEET,156512,149595,27702612,177,6455
2021-11,R142,252308,256140,4541551,18,1025
2021-11,R142A,145511,134849,873066,6,220
2021-11,R143,175216,197810,876081,5,212
2021-11,R160,282229,305546,7055724,25,1662
2021-11,R179,294667,168040,1473336,5,318
2021-11,R188-CONVERSION,172745,241196,1381959,8,380
2021-11,R188-NEW,168741,396906,337481,2,126
2021-11,R46,61462,55979,3687701,60,748
2021-11,R62,184568,239463,1291974,7,315
2021-11,R62A,135793,149739,3666416,27,824
2021-11,R68,152357,109998,1828279,12,425
2021-11,R68A,344523,91798,689045,2,200
2021-10,ADIVISION,204144,204255,12044511,59,2890
2021-10,BDIVISION,114821,124484,15730439,137,3565
2021-10,FLEET,141709,149225,27774950,196,6455
2021-10,R142,326093,252277,4565295,14,1025
2021-10,R142A,90311,140468,903108,10,220
2021-10,R143,114533,202337,916265,8,212
2021-10,R160,261532,310421,7322886,28,1662
2021-10,R179,357253,157541,1429011,4,318
2021-10,R188-CONVERSION,1323191,256073,1323191,1,380
2021-10,R188-NEW,368372,437387,368372,1,126
2021-10,R46,48806,56083,3611635,74,748
2021-10,R62,160393,246949,1283147,8,315
2021-10,R62A,144056,152292,3601398,25,824
2021-10,R68,85939,103693,1804727,21,425
2021-10,R68A,322958,86603,645915,2,200
2021-09,ADIVISION,257152,204641,11314686,44,2890
2021-09,BDIVISION,99329,124894,14899309,150,3565
2021-09,FLEET,135124,149583,26213995,194,6455
2021-09,R142,246327,245694,4187553,17,1025
2021-09,R142A,152314,146878,913885,6,220
2021-09,R143,431601,225224,863202,2,212
2021-09,R160,256238,310684,6918437,27,1662
2021-09,R179,194471,145752,1361294,7,318
2021-09,R188-CONVERSION,669864,246069,1339727,2,380
2021-09,R188-NEW,457837,413961,457837,1,126
2021-09,R46,42313,56616,3300390,78,748
2021-09,R62,289443,260856,1157772,4,315
2021-09,R62A,232708,154342,3257912,14,824
2021-09,R68,77542,107905,1783476,23,425
2021-09,R68A,51732,78740,672510,13,200
2021-08,ADIVISION,194031,206054,11835879,61,2890
2021-08,BDIVISION,123000,127021,15989945,130,3565
2021-08,FLEET,145685,151616,27825824,191,6455
2021-08,R142,249952,253437,4499131,18,1025
2021-08,R142A,218210,152987,872840,4,220
2021-08,R143,185025,198635,925126,5,212
2021-08,R160,342351,314081,7531714,22,1662
2021-08,R179,149403,143020,1494031,10,318
2021-08,R188-CONVERSION,275167,246549,1375835,5,380
2021-08,R46,51496,58697,3347211,65,748
2021-08,R62,132822,250078,1195401,9,315
2021-08,R62A,136217,152904,3405424,25,824
2021-08,R68,103217,110844,1961116,19,425
2021-08,R68A,81194,77119,730747,9,200
2021-07,ADIVISION,165285,205000,12065815,73,2890
2021-07,BDIVISION,118428,127351,15987766,135,3565
2021-07,FLEET,134873,151556,28053581,208,6455
2021-07,R142,236970,256753,4502434,19,1025
2021-07,R142A,107052,144277,963466,9,220
2021-07,R143,254165,182279,1016660,4,212
2021-07,R160,252400,321011,7319599,29,1662
2021-07,R179,483038,142382,1449115,3,318
2021-07,R188-CONVERSION,197900,246398,1385302,7,380
2021-07,R46,45837,59000,3529440,77,748
2021-07,R62,210862,244937,1265172,6,315
2021-07,R62A,107068,154367,3426161,32,824
2021-07,R68,133830,113338,2007454,15,425
2021-07,R68A,95071,73942,665498,7,200
2021-06,ADIVISION,154499,205351,11896399,77,2890
2021-06,BDIVISION,143058,126943,15736376,110,3565
2021-06,FLEET,147769,151255,27632775,187,6455
2021-06,R142,201826,254767,4440166,22,1025
2021-06,R142A,92440,135622,924402,10,220
2021-06,R143,221564,173131,886254,4,212
2021-06,R160,306465,327838,7355167,24,1662
2021-06,R179,673475,131849,1346949,2,318
2021-06,R188-CONVERSION,267998,258886,1339990,5,380
2021-06,R188-NEW,257893,290087,515786,2,126
2021-06,R46,54532,58857,3435491,63,748
2021-06,R62,405900,233970,1217701,3,315
2021-06,R62A,98810,160853,3458354,35,824
2021-06,R68,181624,114035,1997860,11,425
2021-06,R68A,119109,72736,714655,6,200
2021-05,ADIVISION,166443,208362,11817419,71,2890
2021-05,BDIVISION,137672,126370,16107671,117,3565
2021-05,FLEET,148538,151474,27925090,188,6455
2021-05,R142,178189,258648,4454724,25,1025
2021-05,R142A,116570,133006,815990,7,220
2021-05,R143,198350,168956,991748,5,212
2021-05,R160,249659,326603,7489767,30,1662
2021-05,R179,285903,119170,1429514,5,318
2021-05,R188-CONVERSION,131105,259042,1311049,10,380
2021-05,R188-NEW,165203,288442,495608,3,126
2021-05,R46,66104,60398,3503494,53,748
2021-05,R62,324152,237856,1296607,4,315
2021-05,R62A,156520,165860,3443442,22,824
2021-05,R68,97816,109860,1956321,20,425
2021-05,R68A,184207,68002,736827,4,200
2021-04,ADIVISION,240728,210673,12036413,50,2890
2021-04,BDIVISION,144313,125948,16307390,113,3565
2021-04,FLEET,173888,151662,28343803,163,6455
2021-04,R142,318007,270994,4452091,14,1025
2021-04,R142A,101075,133387,909674,9,220
2021-04,R143,183539,165204,917696,5,212
2021-04,R160,337795,326548,7431498,22,1662
2021-04,R179,159576,117002,1436183,9,318
2021-04,R188-CONVERSION,450389,289801,1351168,3,380
2021-04,R188-NEW,493962,326665,493962,1,126
2021-04,R46,77554,60731,3722590,48,748
2021-04,R62,308516,219590,1234063,4,315
2021-04,R62A,189234,162707,3595455,19,824
2021-04,R68,120322,110983,2045481,17,425
2021-04,R68A,62829,63722,753942,12,200
2021-03,ADIVISION,226615,211451,12237227,54,2890
2021-03,BDIVISION,133676,125098,16976852,127,3565
2021-03,FLEET,161404,151093,29214079,181,6455
2021-03,R142,230520,272688,4610390,20,1025
2021-03,R142A,302302,135416,906905,3,220
2021-03,R143,141866,168125,993064,7,212
2021-03,R160,476086,323775,7617370,16,1662
2021-03,R179,159338,115532,1593377,10,318
2021-03,R188-CONVERSION,198312,291646,1388187,7,380
2021-03,R188-NEW,505915,329456,505915,1,126
2021-03,R46,66459,59590,3788140,57,748
2021-03,R62,416763,216497,1250288,3,315
2021-03,R62A,178777,163399,3575542,20,824
2021-03,R68,82713,111167,2150539,26,425
2021-03,R68A,75851,64806,834362,11,200
2021-02,ADIVISION,230057,210500,10582601,46,2890
2021-02,BDIVISION,113449,122704,14408049,127,3565
2021-02,FLEET,144455,148867,24990650,173,6455
2021-02,R142,366582,281678,4032397,11,1025
2021-02,R142A,278391,129594,835172,3,220
2021-02,R143,192630,175309,770520,4,212
2021-02,R160,329056,300407,6581111,20,1662
2021-02,R179,85833,109722,1373324,16,318
2021-02,R188-CONVERSION,122625,313123,1103628,9,380
2021-02,R188-NEW,431440,288514,431440,1,126
2021-02,R46,53458,58663,3207484,60,748
2021-02,R62,191586,212098,1149516,6,315
2021-02,R62A,189403,160004,3030448,16,824
2021-02,R68,106636,111440,1812814,17,425
2021-02,R68A,66280,65559,662796,10,200
2021-01,ADIVISION,257542,205633,11589381,45,2890
2021-01,BDIVISION,120476,123012,16625729,138,3565
2021-01,FLEET,154181,148064,28215110,183,6555
2021-01,R142,342797,265746,4456357,13,1025
2021-01,R142A,100967,124210,908703,9,220
2021-01,R143,480514,172337,961027,2,212
2021-01,R160,289192,295062,7229796,25,1662
2021-01,R179,98296,115576,1671037,17,318
2021-01,R188-CONVERSION,408989,346459,1226966,3,380
2021-01,R188-NEW,420780,289785,420780,1,126
2021-01,R32,0,58638,0,0,63
2021-01,R42,0,0,0,0,37
2021-01,R46,55714,58309,3788522,68,748
2021-01,R62,320539,220253,1282154,4,315
2021-01,R62A,219628,154807,3294421,15,824
2021-01,R68,101990,111052,2141790,21,425
2021-01,R68A,166711,69009,833557,5,200
2020-12,ADIVISION,210389,200012,12202567,58,2890
2020-12,BDIVISION,132974,122316,16754668,126,3565
2020-12,FLEET,157376,146290,28957235,184,6555
2020-12,R142,266762,257772,4534953,17,1025
2020-12,R142A,240187,136116,960746,4,220
2020-12,R143,191948,171338,959739,5,212
2020-12,R160,418507,288467,7533132,18,1662
2020-12,R179,93353,118607,1587003,17,318
2020-12,R188-CONVERSION,231988,307863,1391927,6,380
2020-12,R188-NEW,518980,264106,518980,1,126
2020-12,R32,0,39849,0,0,63
2020-12,R42,0,16519,0,0,37
2020-12,R46,63291,59443,3734172,59,748
2020-12,R62,305729,212101,1222916,4,315
2020-12,R62A,137425,148652,3573045,26,824
2020-12,R68,166127,111264,2159649,13,425
2020-12,R68A,55784,63888,780973,14,200
2020-11,ADIVISION,217309,196161,11517383,53,2890
2020-11,BDIVISION,124473,120943,15808099,127,3695
2020-11,FLEET,151808,144271,27325482,180,6622
2020-11,R142,212134,248902,4242673,20,1025
2020-11,R142A,300376,139856,901128,3,220
2020-11,R143,231806,166019,927225,4,212
2020-11,R160,343243,273723,7208104,21,1662
2020-11,R179,122817,130507,1473808,12,318
2020-11,R188-CONVERSION,334894,307930,1339575,4,380
2020-11,R188-NEW,466829,248902,466829,1,126
2020-11,R32,0,36583,0,0,130
2020-11,R42,0,16080,0,0,37
2020-11,R46,63255,59689,3542272,56,748
2020-11,R62,252446,212629,1262232,5,315
2020-11,R62A,165247,144547,3304946,20,824
2020-11,R68,75119,105816,2028213,27,425
2020-11,R68A,89782,67633,628477,7,200
2020-10,ADIVISION,208663,191041,12311110,59,2890
2020-10,BDIVISION,119578,119235,16860440,141,3695
2020-10,FLEET,145858,141708,29171550,200,6622
2020-10,R142,232176,247971,4411351,19,1025
2020-10,R142A,136578,127778,956044,7,220
2020-10,R143,349645,160337,1048935,3,212
2020-10,R160,268684,262961,8329204,31,1662
2020-10,R179,93034,140941,837307,9,318
2020-10,R188-CONVERSION,360290,285631,1441161,4,380
2020-10,R188-NEW,238893,226785,477786,2,126
2020-10,R32,0,38584,3759,0,130
2020-10,R42,0,15696,0,0,37
2020-10,R46,54135,59561,3789455,70,748
2020-10,R62,266996,205982,1334980,5,315
2020-10,R62A,167718,143417,3689789,22,824
2020-10,R68,141736,101776,2126034,15,425
2020-10,R68A,55827,65980,725746,13,200
2020-09,ADIVISION,282832,185902,11878926,42,2890
2020-09,BDIVISION,120473,118538,16143407,134,3697
2020-09,FLEET,159218,139941,28022333,176,6624
2020-09,R142,393786,244366,4331641,11,1025
2020-09,R142A,302346,126354,907038,3,220
2020-09,R143,102692,156775,924225,9,212
2020-09,R160,293614,260706,8514806,29,1662
2020-09,R179,0,140880,40600,0,318
2020-09,R188-CONVERSION,685453,284914,1370905,2,380
2020-09,R188-NEW,488613,239632,488613,1,126
2020-09,R32,94649,38276,94649,1,130
2020-09,R42,0,16595,0,0,37
2020-09,R46,63549,61064,3812938,60,750
2020-09,R62,184811,200693,1293675,7,315
2020-09,R62A,193725,136054,3487055,18,824
2020-09,R68,105466,92575,2109325,20,425
2020-09,R68A,43124,68298,646864,15,200
2020-08,ADIVISION,183203,173444,11725020,64,2890
2020-08,BDIVISION,126891,118179,16876555,133,3697
2020-08,FLEET,145186,136517,28601575,197,6624
2020-08,R142,297515,228484,4165205,14,1025
2020-08,R142A,103943,115667,831540,8,220
2020-08,R143,98771,169048,1086483,11,212
2020-08,R160,443935,269157,8878704,20,1662
2020-08,R179,0,142726,0,0,318
2020-08,R188-CONVERSION,273199,280338,1365997,5,380
2020-08,R188-NEW,164578,253010,493733,3,126
2020-08,R32,73958,34960,147915,2,130
2020-08,R42,0,16635,0,0,37
2020-08,R46,55264,60319,3923731,71,750
2020-08,R62,125164,203143,1376799,11,315
2020-08,R62A,151815,122937,3491746,23,824
2020-08,R68,135765,88623,2172246,16,425
2020-08,R68A,51344,72194,667476,13,200
2020-07,ADIVISION,169104,171783,12513667,74,2890
2020-07,BDIVISION,115042,115993,17141274,149,3697
2020-07,FLEET,132982,134394,29654941,223,6624
2020-07,R142,219279,225058,4604856,21,1025
2020-07,R142A,70887,115623,992422,14,220
2020-07,R143,141608,182777,1132867,8,212
2020-07,R160,319190,263441,8937317,28,1662
2020-07,R179,0,143544,217,0,318
2020-07,R188-CONVERSION,355091,298945,1420365,4,380
2020-07,R188-NEW,164104,295779,492311,3,126
2020-07,R32,115390,28665,115390,1,130
2020-07,R42,0,19143,0,0,37
2020-07,R46,46116,60813,4012082,87,750
2020-07,R62,143010,204035,1287091,9,315
2020-07,R62A,161592,119068,3716622,23,824
2020-07,R68,142093,83735,2273480,16,425
2020-07,R68A,74436,78090,669921,9,200
2020-06,ADIVISION,178060,171060,12108055,68,2890
2020-06,BDIVISION,134432,115107,15863029,118,3697
2020-06,FLEET,150382,133480,27971084,186,6624
2020-06,R142,235136,224077,4467587,19,1025
2020-06,R142A,81764,127190,981166,12,220
2020-06,R143,157401,178705,944408,6,212
2020-06,R160,296820,257455,8310949,28,1662
2020-06,R179,58578,143944,117156,2,318
2020-06,R188-CONVERSION,269935,267979,1349674,5,380
2020-06,R188-NEW,241446,356066,482892,2,126
2020-06,R32,0,26891,0,0,130
2020-06,R42,0,23005,0,0,37
2020-06,R46,76512,63096,3749076,49,750
2020-06,R62,616228,212520,1232455,2,315
2020-06,R62A,128367,115083,3594281,28,824
2020-06,R68,103909,79897,2182097,21,425
2020-06,R68A,46612,80382,559343,12,200
2020-05,ADIVISION,182311,173417,10027093,55,2895
2020-05,BDIVISION,133122,113204,13312165,100,3591
2020-05,FLEET,150576,132508,23339258,155,6523
2020-05,R142,285166,233360,3992318,14,1030
